App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Google Maps,Excellent app with useful features.,Positive,0.554505,0.889079
Netflix,Useful but has minor issues.,Neutral,0,0.518014
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.303207
Instagram,Excellent app with useful features.,Positive,0.33171,0.201724
Google Maps,"Not bad, just decent.",Neutral,0,0.242625
WhatsApp,Not satisfied with the performance.,Negative,-0.404316,0.64067
Canva,Not satisfied with the performance.,Negative,-0.337837,0.34267
Flipkart,Love the interface and performance.,Positive,0.93551,0.624901
10 Best Foods for You,Works great especially for daily use.,Positive,0.254817,0.254369
Zomato,Love the interface and performance.,Positive,0.396972,0.675615
Spotify,Useful but has minor issues.,Neutral,0,0.361391
Swiggy,Works fine but can be better.,Neutral,0,0.219343
Google Maps,"Not bad, just decent.",Neutral,0,0.258089
YouTube,Love the interface and performance.,Positive,0.998764,0.996877
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.946608,0.904691
Swiggy,"Amazing experience, highly recommended.",Positive,0.866996,0.762832
Spotify,Useful but has minor issues.,Neutral,0,0.103912
Zomato,App crashes frequently.,Negative,-0.154963,0.394004
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.236174
Spotify,Very helpful and easy to use.,Positive,0.604327,0.400897
Swiggy,"Amazing experience, highly recommended.",Positive,0.863478,0.235269
Flipkart,Works fine but can be better.,Neutral,0,0.180791
Instagram,Excellent app with useful features.,Positive,0.289499,0.956041
WhatsApp,Very helpful and easy to use.,Positive,0.666008,0.318475
Amazon Shopping,,,,
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.549462
Canva,Works fine but can be better.,Neutral,0,0.490058
Swiggy,Very slow after the latest update.,Negative,-0.166813,0.465716
Amazon Shopping,"Not bad, just decent.",Neutral,0,0.112393
WhatsApp,"Not bad, just decent.",Neutral,0,0.501118
Zomato,Works great especially for daily use.,Positive,0.8299,0.286477
Zomato,,,,
Instagram,"Not bad, just decent.",Neutral,0,0.274829
Zomato,Excellent app with useful features.,Positive,0.728027,0.518773
Duolingo,Too many ads.,Negative,-0.683968,0.656584
Telegram,Excellent app with useful features.,Positive,0.292273,0.97632
Amazon Shopping,App crashes frequently.,Negative,-0.902438,0.604195
WhatsApp,Love the interface and performance.,Positive,0.292517,0.919604
Canva,"It's okay, needs some improvements.",Neutral,0,0.35996
YouTube,Average experience overall.,Neutral,0,0.282111
Adobe Acrobat Reader,Not satisfied with the performance.,Negative,-0.717476,0.893611
WhatsApp,"Amazing experience, highly recommended.",Positive,0.460946,0.757767
Netflix,"Amazing experience, highly recommended.",Positive,0.741854,0.922244
Spotify,Excellent app with useful features.,Positive,0.4431,0.368146
YouTube,"Not bad, just decent.",Neutral,0,0.320893
Telegram,Works great especially for daily use.,Positive,0.727081,0.427029
Telegram,Works great especially for daily use.,Positive,0.738237,0.379713
Canva,"Amazing experience, highly recommended.",Positive,0.689019,0.814791
Instagram,Average experience overall.,Neutral,0,0.459173
Google Maps,Excellent app with useful features.,Positive,0.914128,0.888352
Swiggy,Works great especially for daily use.,Positive,0.843288,0.756729
Instagram,Excellent app with useful features.,Positive,0.565169,0.841133
Telegram,Very helpful and easy to use.,Positive,0.960032,0.913141
Spotify,Poor user experience.,Negative,-0.252488,0.68351
Swiggy,Poor user experience.,Negative,-0.766728,0.473068
Telegram,"Not bad, just decent.",Neutral,0,0.413374
Duolingo,Average experience overall.,Neutral,0,0.235858
Flipkart,Works great especially for daily use.,Positive,0.385009,0.75516
WhatsApp,Very helpful and easy to use.,Positive,0.634089,0.532619
Canva,Love the interface and performance.,Positive,0.95685,0.215626
Swiggy,Excellent app with useful features.,Positive,0.954193,0.43889
Google Maps,Poor user experience.,Negative,-0.515601,0.814244
YouTube,Works great especially for daily use.,Positive,0.418348,0.588514
Google Maps,"Not bad, just decent.",Neutral,0,0.462091
Zomato,Love the interface and performance.,Positive,0.627299,0.925543
Spotify,"Amazing experience, highly recommended.",Positive,0.30856,0.569359
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.461477,0.808984
Google Maps,Poor user experience.,Negative,-0.772956,0.357334
10 Best Foods for You,Very helpful and easy to use.,Positive,0.379378,0.254895
Telegram,,,,
10 Best Foods for You,Excellent app with useful features.,Positive,0.697069,0.390836
Instagram,Works great especially for daily use.,Positive,0.572027,0.404995
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.488896
Amazon Shopping,Excellent app with useful features.,Positive,0.94311,0.660637
Swiggy,Works great especially for daily use.,Positive,0.260797,0.752492
Telegram,Works fine but can be better.,Neutral,0,0.525147
Spotify,Useful but has minor issues.,Neutral,0,0.491318
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.35298
Flipkart,,,,
Google Maps,Very helpful and easy to use.,Positive,0.708468,0.862966
WhatsApp,Love the interface and performance.,Positive,0.972379,0.416066
YouTube,"Not bad, just decent.",Neutral,0,0.317787
WhatsApp,Works great especially for daily use.,Positive,0.864585,0.26933
Swiggy,Useful but has minor issues.,Neutral,0,0.405166
Google Maps,Very helpful and easy to use.,Positive,0.345472,0.369696
YouTube,Love the interface and performance.,Positive,0.760947,0.421015
10 Best Foods for You,Works great especially for daily use.,Positive,0.77606,0.590862
YouTube,"Amazing experience, highly recommended.",Positive,0.55854,0.213795
Duolingo,Works fine but can be better.,Neutral,0,0.43198
Flipkart,"Amazing experience, highly recommended.",Positive,0.997305,0.640311
Flipkart,Very helpful and easy to use.,Positive,0.38443,0.777027
Flipkart,Works great especially for daily use.,Positive,0.353233,0.790884
Duolingo,Not satisfied with the performance.,Negative,-0.462888,0.986357
Zomato,Works great especially for daily use.,Positive,0.441814,0.766415
Amazon Shopping,Not satisfied with the performance.,Negative,-0.737077,0.960863
Telegram,Excellent app with useful features.,Positive,0.659251,0.575518
Instagram,Too many ads.,Negative,-0.153043,0.63441
Zomato,Love the interface and performance.,Positive,0.703557,0.242887
Amazon Shopping,App crashes frequently.,Negative,-0.105474,0.382916
YouTube,Love the interface and performance.,Positive,0.38055,0.618058
Instagram,Love the interface and performance.,Positive,0.992025,0.444304
Spotify,App crashes frequently.,Negative,-0.147169,0.445452
Canva,Works great especially for daily use.,Positive,0.339051,0.260052
10 Best Foods for You,"Not bad, just decent.",Neutral,0,0.24563
Canva,"Amazing experience, highly recommended.",Positive,0.256944,0.386739
Duolingo,Average experience overall.,Neutral,0,0.312569
Netflix,Very helpful and easy to use.,Positive,0.861305,0.257128
Amazon Shopping,Love the interface and performance.,Positive,0.936954,0.551323
Instagram,Works fine but can be better.,Neutral,0,0.350236
Instagram,"Amazing experience, highly recommended.",Positive,0.787627,0.682971
10 Best Foods for You,Not satisfied with the performance.,Negative,-0.471589,0.314522
YouTube,Excellent app with useful features.,Positive,0.810487,0.340153
Netflix,Very slow after the latest update.,Negative,-0.102749,0.605119
Zomato,Very helpful and easy to use.,Positive,0.526678,0.456847
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.430574,0.956155
Zomato,Excellent app with useful features.,Positive,0.451614,0.458619
YouTube,Excellent app with useful features.,Positive,0.726128,0.634075
Google Maps,Love the interface and performance.,Positive,0.805155,0.700327
YouTube,Works great especially for daily use.,Positive,0.942138,0.550493
WhatsApp,Love the interface and performance.,Positive,0.839451,0.767826
Duolingo,Excellent app with useful features.,Positive,0.379761,0.873125
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.5987,0.773283
Netflix,"Amazing experience, highly recommended.",Positive,0.984196,0.394985
Netflix,Love the interface and performance.,Positive,0.606593,0.903461
Zomato,"Not bad, just decent.",Neutral,0,0.269938
YouTube,Works fine but can be better.,Neutral,0,0.463025
Zomato,Poor user experience.,Negative,-0.221265,0.612583
Instagram,Love the interface and performance.,Positive,0.501768,0.946282
Zomato,Useful but has minor issues.,Neutral,0,0.291485
Zomato,"Amazing experience, highly recommended.",Positive,0.764182,0.849127
Google Maps,Average experience overall.,Neutral,0,0.347664
10 Best Foods for You,Too many ads.,Negative,-0.21727,0.911933
Instagram,App crashes frequently.,Negative,-0.349801,0.586985
Telegram,Very helpful and easy to use.,Positive,0.470849,0.754164
Telegram,Love the interface and performance.,Positive,0.504008,0.453329
WhatsApp,Love the interface and performance.,Positive,0.228719,0.254737
Telegram,Works great especially for daily use.,Positive,0.797413,0.547177
Adobe Acrobat Reader,"It's okay, needs some improvements.",Neutral,0,0.321839
WhatsApp,Very helpful and easy to use.,Positive,0.836915,0.434694
Flipkart,"Amazing experience, highly recommended.",Positive,0.652742,0.834016
Amazon Shopping,"Not bad, just decent.",Neutral,0,0.409855
Canva,Works great especially for daily use.,Positive,0.56892,0.403182
Duolingo,Poor user experience.,Negative,-0.188912,0.774328
Amazon Shopping,Not satisfied with the performance.,Negative,-0.730761,0.97342
WhatsApp,Average experience overall.,Neutral,0,0.599687
Zomato,Love the interface and performance.,Positive,0.487167,0.436698
WhatsApp,Poor user experience.,Negative,-0.752968,0.69615
Telegram,Not satisfied with the performance.,Negative,-0.329345,0.882987
Swiggy,Useful but has minor issues.,Neutral,0,0.500966
Canva,Average experience overall.,Neutral,0,0.414124
Swiggy,"Amazing experience, highly recommended.",Positive,0.226692,0.491889
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.340512,0.305728
Netflix,Love the interface and performance.,Positive,0.93079,0.864378
Duolingo,Too many ads.,Negative,-0.328097,0.537101
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.888112,0.779373
Google Maps,Works fine but can be better.,Neutral,0,0.145151
Google Maps,,,,
Netflix,Very helpful and easy to use.,Positive,0.667648,0.857934
Flipkart,Excellent app with useful features.,Positive,0.695637,0.954535
Flipkart,Excellent app with useful features.,Positive,0.708323,0.571414
WhatsApp,Works great especially for daily use.,Positive,0.236277,0.22977
Instagram,Love the interface and performance.,Positive,0.308531,0.562915
Telegram,Useful but has minor issues.,Neutral,0,0.309563
WhatsApp,App crashes frequently.,Negative,-0.249676,0.730957
Duolingo,,,,
Flipkart,Works great especially for daily use.,Positive,0.88436,0.279484
Telegram,Too many ads.,Negative,-0.945505,0.493117
Adobe Acrobat Reader,"It's okay, needs some improvements.",Neutral,0,0.431384
Telegram,App crashes frequently.,Negative,-0.291885,0.470498
Amazon Shopping,Love the interface and performance.,Positive,0.365726,0.372761
Zomato,Useful but has minor issues.,Neutral,0,0.101418
Zomato,Not satisfied with the performance.,Negative,-0.774411,0.422148
Telegram,Very helpful and easy to use.,Positive,0.831988,0.390345
Flipkart,,,,
Duolingo,Useful but has minor issues.,Neutral,0,0.156825
Adobe Acrobat Reader,Useful but has minor issues.,Neutral,0,0.396833
Instagram,App crashes frequently.,Negative,-0.345481,0.936126
Telegram,Excellent app with useful features.,Positive,0.24866,0.583186
Google Maps,"Amazing experience, highly recommended.",Positive,0.258793,0.264632
Spotify,Love the interface and performance.,Positive,0.706461,0.638685
Flipkart,Very helpful and easy to use.,Positive,0.562972,0.684341
Adobe Acrobat Reader,Love the interface and performance.,Positive,0.776672,0.372018
Instagram,"Amazing experience, highly recommended.",Positive,0.518984,0.78369
Flipkart,Works fine but can be better.,Neutral,0,0.576796
Telegram,Excellent app with useful features.,Positive,0.274584,0.277252
WhatsApp,Excellent app with useful features.,Positive,0.669172,0.649269
Flipkart,"Amazing experience, highly recommended.",Positive,0.894474,0.776849
Duolingo,Love the interface and performance.,Positive,0.60593,0.323784
Instagram,Love the interface and performance.,Positive,0.494049,0.810085
Spotify,Love the interface and performance.,Positive,0.979637,0.854741
Spotify,Love the interface and performance.,Positive,0.943267,0.863569
Duolingo,,,,
Duolingo,Very helpful and easy to use.,Positive,0.480819,0.345124
Amazon Shopping,Works great especially for daily use.,Positive,0.792775,0.977448
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.562917,0.325927
Duolingo,Useful but has minor issues.,Neutral,0,0.398112
Swiggy,Love the interface and performance.,Positive,0.23981,0.265265
Instagram,"Amazing experience, highly recommended.",Positive,0.531347,0.372455
Netflix,Very helpful and easy to use.,Positive,0.742574,0.674507
Netflix,"Amazing experience, highly recommended.",Positive,0.987557,0.243826
Canva,Works great especially for daily use.,Positive,0.811329,0.431558
Adobe Acrobat Reader,,,,
WhatsApp,Love the interface and performance.,Positive,0.762937,0.60021
Zomato,"Amazing experience, highly recommended.",Positive,0.889411,0.233842
10 Best Foods for You,Very helpful and easy to use.,Positive,0.660607,0.65872
WhatsApp,"Amazing experience, highly recommended.",Positive,0.216685,0.459815
YouTube,Very helpful and easy to use.,Positive,0.270504,0.875587
Canva,Excellent app with useful features.,Positive,0.516613,0.44822
Flipkart,"It's okay, needs some improvements.",Neutral,0,0.355242
Adobe Acrobat Reader,Very helpful and easy to use.,Positive,0.48088,0.966579
Telegram,Works great especially for daily use.,Positive,0.404775,0.338799
Amazon Shopping,Average experience overall.,Neutral,0,0.575646
Telegram,Useful but has minor issues.,Neutral,0,0.324453
Swiggy,Useful but has minor issues.,Neutral,0,0.261604
Telegram,"Amazing experience, highly recommended.",Positive,0.553766,0.442256
Duolingo,Excellent app with useful features.,Positive,0.448326,0.561531
10 Best Foods for You,Excellent app with useful features.,Positive,0.692007,0.605654
Instagram,App crashes frequently.,Negative,-0.59524,0.866871
Telegram,Useful but has minor issues.,Neutral,0,0.175431
10 Best Foods for You,Works fine but can be better.,Neutral,0,0.591193
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.766097,0.992789
Netflix,Very helpful and easy to use.,Positive,0.934349,0.509933
YouTube,Very helpful and easy to use.,Positive,0.252729,0.275605
Telegram,Love the interface and performance.,Positive,0.898624,0.46669
Spotify,Too many ads.,Negative,-0.129073,0.788936
Google Maps,"It's okay, needs some improvements.",Neutral,0,0.254791
Google Maps,Works great especially for daily use.,Positive,0.736093,0.863167
WhatsApp,App crashes frequently.,Negative,-0.418578,0.596384
Flipkart,,,,
Duolingo,"Amazing experience, highly recommended.",Positive,0.353604,0.999981
Amazon Shopping,"It's okay, needs some improvements.",Neutral,0,0.353845
Netflix,App crashes frequently.,Negative,-0.404264,0.913475
Spotify,Works great especially for daily use.,Positive,0.344677,0.754277
Spotify,"Amazing experience, highly recommended.",Positive,0.234954,0.49144
WhatsApp,Very helpful and easy to use.,Positive,0.801913,0.82704
Canva,"Amazing experience, highly recommended.",Positive,0.923179,0.355213
Telegram,Poor user experience.,Negative,-0.307505,0.844687
Netflix,Very slow after the latest update.,Negative,-0.278867,0.396879
Duolingo,Very helpful and easy to use.,Positive,0.643633,0.282072
Zomato,Excellent app with useful features.,Positive,0.810493,0.418233
Swiggy,"It's okay, needs some improvements.",Neutral,0,0.573207
Canva,App crashes frequently.,Negative,-0.626593,0.577518
Flipkart,Too many ads.,Negative,-0.797915,0.523079
Adobe Acrobat Reader,Average experience overall.,Neutral,0,0.1688
Duolingo,Works great especially for daily use.,Positive,0.807073,0.575288
Spotify,,,,
Adobe Acrobat Reader,,,,
Canva,Love the interface and performance.,Positive,0.622217,0.288949
Duolingo,Works great especially for daily use.,Positive,0.53586,0.835119
Instagram,"Not bad, just decent.",Neutral,0,0.39837
10 Best Foods for You,Works great especially for daily use.,Positive,0.433018,0.201251
Flipkart,Excellent app with useful features.,Positive,0.618788,0.488483
Netflix,Useful but has minor issues.,Neutral,0,0.377076
Google Maps,"Amazing experience, highly recommended.",Positive,0.984832,0.40292
10 Best Foods for You,Works great especially for daily use.,Positive,0.786353,0.702606
YouTube,Average experience overall.,Neutral,0,0.122168
Netflix,"Not bad, just decent.",Neutral,0,0.59041
Instagram,"It's okay, needs some improvements.",Neutral,0,0.458023
Instagram,,,,
Canva,,,,
Canva,Very helpful and easy to use.,Positive,0.612307,0.991298
Netflix,Works great especially for daily use.,Positive,0.428889,0.889711
10 Best Foods for You,Excellent app with useful features.,Positive,0.839474,0.549561
Google Maps,Poor user experience.,Negative,-0.694867,0.430772
WhatsApp,Not satisfied with the performance.,Negative,-0.759951,0.357828
Google Maps,Average experience overall.,Neutral,0,0.372737
Flipkart,Very helpful and easy to use.,Positive,0.445197,0.682097
Google Maps,"Amazing experience, highly recommended.",Positive,0.233884,0.89603
Flipkart,Excellent app with useful features.,Positive,0.260033,0.71001
Flipkart,Average experience overall.,Neutral,0,0.576395
Amazon Shopping,"Not bad, just decent.",Neutral,0,0.117399
Adobe Acrobat Reader,Works fine but can be better.,Neutral,0,0.291427
Spotify,,,,
Amazon Shopping,Too many ads.,Negative,-0.600455,0.35382
Amazon Shopping,Very helpful and easy to use.,Positive,0.399689,0.290759
WhatsApp,Love the interface and performance.,Positive,0.294209,0.819972
WhatsApp,Too many ads.,Negative,-0.375417,0.99904
Canva,Poor user experience.,Negative,-0.844609,0.799359
Adobe Acrobat Reader,Too many ads.,Negative,-0.398944,0.796678
Netflix,Very slow after the latest update.,Negative,-0.359372,0.949127
Telegram,Works great especially for daily use.,Positive,0.29709,0.360784
Amazon Shopping,Very helpful and easy to use.,Positive,0.643217,0.495129
YouTube,Excellent app with useful features.,Positive,0.252598,0.518528
WhatsApp,"Amazing experience, highly recommended.",Positive,0.858672,0.259001
Flipkart,Love the interface and performance.,Positive,0.475612,0.902368
YouTube,Works great especially for daily use.,Positive,0.546095,0.92857
10 Best Foods for You,Very helpful and easy to use.,Positive,0.331726,0.458129
WhatsApp,Not satisfied with the performance.,Negative,-0.194567,0.892154
Duolingo,Too many ads.,Negative,-0.887347,0.511977
Netflix,Useful but has minor issues.,Neutral,0,0.570803
Amazon Shopping,Useful but has minor issues.,Neutral,0,0.26881
Swiggy,"It's okay, needs some improvements.",Neutral,0,0.140611
Telegram,Works great especially for daily use.,Positive,0.813567,0.533269
Telegram,,,,
Swiggy,Very helpful and easy to use.,Positive,0.586356,0.843751
Telegram,Excellent app with useful features.,Positive,0.326464,0.532497
Instagram,Works fine but can be better.,Neutral,0,0.530743
Flipkart,Poor user experience.,Negative,-0.88231,0.559378
Netflix,Excellent app with useful features.,Positive,0.413977,0.398335
Adobe Acrobat Reader,Not satisfied with the performance.,Negative,-0.623679,0.97388
Swiggy,Love the interface and performance.,Positive,0.776903,0.351867
Amazon Shopping,"Amazing experience, highly recommended.",Positive,0.903261,0.597896
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.372116,0.482316
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.428599,0.206542
Adobe Acrobat Reader,Too many ads.,Negative,-0.312529,0.556156
Google Maps,Very helpful and easy to use.,Positive,0.642578,0.258825
Netflix,Love the interface and performance.,Positive,0.744319,0.295049
Adobe Acrobat Reader,Works fine but can be better.,Neutral,0,0.378916
Flipkart,Love the interface and performance.,Positive,0.52111,0.232204
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.615466,0.319153
Swiggy,Love the interface and performance.,Positive,0.454824,0.514364
Spotify,Very helpful and easy to use.,Positive,0.605852,0.607771
Instagram,Excellent app with useful features.,Positive,0.494686,0.739045
Google Maps,"It's okay, needs some improvements.",Neutral,0,0.398455
Duolingo,Useful but has minor issues.,Neutral,0,0.388817
WhatsApp,Love the interface and performance.,Positive,0.70322,0.695789
Zomato,Average experience overall.,Neutral,0,0.115785
WhatsApp,Very helpful and easy to use.,Positive,0.535024,0.530368
Canva,"Not bad, just decent.",Neutral,0,0.536409
WhatsApp,Useful but has minor issues.,Neutral,0,0.203671
Flipkart,"Amazing experience, highly recommended.",Positive,0.451002,0.338546
Swiggy,Very helpful and easy to use.,Positive,0.688061,0.353811
Canva,Very helpful and easy to use.,Positive,0.816939,0.763921
WhatsApp,Very helpful and easy to use.,Positive,0.64839,0.947588
WhatsApp,Love the interface and performance.,Positive,0.503755,0.984128
Zomato,Average experience overall.,Neutral,0,0.245226
Duolingo,"Amazing experience, highly recommended.",Positive,0.724778,0.797871
Canva,Love the interface and performance.,Positive,0.756937,0.309818
Spotify,Excellent app with useful features.,Positive,0.735867,0.624833
Telegram,Very helpful and easy to use.,Positive,0.773886,0.280436
YouTube,Very slow after the latest update.,Negative,-0.633783,0.954522
Swiggy,Works fine but can be better.,Neutral,0,0.260584
Telegram,Useful but has minor issues.,Neutral,0,0.21611
WhatsApp,Very slow after the latest update.,Negative,-0.623904,0.886323
Swiggy,Poor user experience.,Negative,-0.290835,0.430418
WhatsApp,App crashes frequently.,Negative,-0.99166,0.697573
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.99128,0.63464
Instagram,Love the interface and performance.,Positive,0.574417,0.354249
Adobe Acrobat Reader,Works fine but can be better.,Neutral,0,0.459299
10 Best Foods for You,Useful but has minor issues.,Neutral,0,0.437201
Canva,Poor user experience.,Negative,-0.255709,0.660696
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.581963,0.94866
10 Best Foods for You,Very helpful and easy to use.,Positive,0.963228,0.441557
WhatsApp,Very helpful and easy to use.,Positive,0.754215,0.249699
Adobe Acrobat Reader,Love the interface and performance.,Positive,0.938485,0.910241
YouTube,Very helpful and easy to use.,Positive,0.494035,0.376679
Amazon Shopping,Love the interface and performance.,Positive,0.4989,0.761553
Swiggy,Works great especially for daily use.,Positive,0.809488,0.744274
Spotify,"Amazing experience, highly recommended.",Positive,0.622538,0.489428
Swiggy,Love the interface and performance.,Positive,0.922311,0.361725
Netflix,Love the interface and performance.,Positive,0.553472,0.744236
WhatsApp,Love the interface and performance.,Positive,0.556386,0.244509
Amazon Shopping,Excellent app with useful features.,Positive,0.647038,0.738214
Duolingo,Excellent app with useful features.,Positive,0.796644,0.662649
10 Best Foods for You,Useful but has minor issues.,Neutral,0,0.597062
Swiggy,Poor user experience.,Negative,-0.971439,0.586207
YouTube,"Not bad, just decent.",Neutral,0,0.28723
Swiggy,Poor user experience.,Negative,-0.661919,0.777911
Telegram,Very helpful and easy to use.,Positive,0.294907,0.994277
Google Maps,Average experience overall.,Neutral,0,0.517411
YouTube,,,,
Duolingo,"Not bad, just decent.",Neutral,0,0.365967
Zomato,Works great especially for daily use.,Positive,0.42052,0.949928
WhatsApp,"Amazing experience, highly recommended.",Positive,0.691939,0.94899
Swiggy,,,,
Canva,"Amazing experience, highly recommended.",Positive,0.678228,0.762629
10 Best Foods for You,"Amazing experience, highly recommended.",Positive,0.387471,0.373815
Zomato,Very helpful and easy to use.,Positive,0.387329,0.933118
Spotify,Very helpful and easy to use.,Positive,0.389523,0.901007
Telegram,Very helpful and easy to use.,Positive,0.248766,0.958816
Swiggy,"Amazing experience, highly recommended.",Positive,0.644681,0.237507
Flipkart,Useful but has minor issues.,Neutral,0,0.259367
Google Maps,Works great especially for daily use.,Positive,0.803533,0.578815
Zomato,Very slow after the latest update.,Negative,-0.274801,0.940319
Netflix,Love the interface and performance.,Positive,0.307274,0.394287
Canva,"Amazing experience, highly recommended.",Positive,0.877707,0.273971
WhatsApp,"Amazing experience, highly recommended.",Positive,0.738938,0.682338
Zomato,Useful but has minor issues.,Neutral,0,0.462153
Netflix,Very helpful and easy to use.,Positive,0.44255,0.927195
Canva,App crashes frequently.,Negative,-0.327809,0.828032
Swiggy,Average experience overall.,Neutral,0,0.298316
Canva,"Not bad, just decent.",Neutral,0,0.333125
Telegram,Love the interface and performance.,Positive,0.90625,0.572803
YouTube,Very helpful and easy to use.,Positive,0.931464,0.496564
Google Maps,,,,
Zomato,Very helpful and easy to use.,Positive,0.642649,0.667226
WhatsApp,Very helpful and easy to use.,Positive,0.384015,0.655832
Canva,Works fine but can be better.,Neutral,0,0.228663
Zomato,"Not bad, just decent.",Neutral,0,0.330414
WhatsApp,Love the interface and performance.,Positive,0.590653,0.93352
Netflix,Not satisfied with the performance.,Negative,-0.969559,0.892688
Zomato,"Not bad, just decent.",Neutral,0,0.168746
Telegram,"It's okay, needs some improvements.",Neutral,0,0.20936
Instagram,Useful but has minor issues.,Neutral,0,0.556376
Telegram,Love the interface and performance.,Positive,0.529071,0.213381
WhatsApp,App crashes frequently.,Negative,-0.548006,0.788501
Google Maps,App crashes frequently.,Negative,-0.173756,0.66707
Canva,Very helpful and easy to use.,Positive,0.41386,0.517517
Flipkart,Works great especially for daily use.,Positive,0.992186,0.380686
Telegram,Excellent app with useful features.,Positive,0.2748,0.503411
Netflix,Average experience overall.,Neutral,0,0.141343
Zomato,Useful but has minor issues.,Neutral,0,0.588665
Adobe Acrobat Reader,Very slow after the latest update.,Negative,-0.809725,0.907682
Swiggy,Excellent app with useful features.,Positive,0.747543,0.424298
Netflix,Very helpful and easy to use.,Positive,0.212526,0.365726
Amazon Shopping,"Not bad, just decent.",Neutral,0,0.564437
Duolingo,"Amazing experience, highly recommended.",Positive,0.741628,0.63245
Google Maps,Excellent app with useful features.,Positive,0.600634,0.979459
10 Best Foods for You,Excellent app with useful features.,Positive,0.472474,0.815205
Spotify,"It's okay, needs some improvements.",Neutral,0,0.417061
YouTube,Very helpful and easy to use.,Positive,0.64243,0.500342
Amazon Shopping,"It's okay, needs some improvements.",Neutral,0,0.486084
Duolingo,"It's okay, needs some improvements.",Neutral,0,0.233986
Google Maps,"Not bad, just decent.",Neutral,0,0.258339
Adobe Acrobat Reader,Poor user experience.,Negative,-0.676074,0.488837
Amazon Shopping,Love the interface and performance.,Positive,0.643792,0.526435
10 Best Foods for You,Love the interface and performance.,Positive,0.678435,0.459544
Google Maps,,,,
Google Maps,Love the interface and performance.,Positive,0.924166,0.982538
Spotify,Average experience overall.,Neutral,0,0.16942
Duolingo,Works great especially for daily use.,Positive,0.547741,0.536882
